UserID,VideoID,GlobalTime,VideoTime,FrameIdx,Pitch,Yaw,Roll,Qx,Qy,Qz,Qw,UI_Active,UI_Type,Phase
37,010,4.8541,0.02136,0,0.00,321.14,0.00,-0.0000,0.0000,0.3326,-0.9431,0,,Free-viewing Phase
37,010,4.8754,0.04627,1,1.50,319.14,0.34,-0.0073,-0.0112,0.3490,-0.9370,0,,Free-viewing Phase
37,010,4.9004,0.0705,1,3.00,319.56,1.24,-0.0192,-0.0208,0.3458,-0.9379,0,,Free-viewing Phase
37,010,4.9246,0.09002,2,2.89,320.02,2.24,-0.0270,-0.0170,0.3422,-0.9391,0,,Free-viewing Phase
37,010,4.9441,0.1146,2,3.61,318.02,3.24,-0.0376,-0.0192,0.3587,-0.9325,0,,Free-viewing Phase
37,010,4.9686,0.1355,3,2.68,319.13,4.24,-0.0428,-0.0090,0.3496,-0.9359,0,,Free-viewing Phase
37,010,4.9896,0.1569,3,2.95,317.73,3.24,-0.0356,-0.0138,0.3610,-0.9318,0,,Free-viewing Phase
37,010,5.0110,0.1764,4,2.34,319.00,3.29,-0.0341,-0.0090,0.3505,-0.9359,0,,Free-viewing Phase
37,010,5.0305,0.2008,5,3.32,318.60,3.36,-0.0377,-0.0167,0.3540,-0.9343,0,,Free-viewing Phase
37,010,5.0548,0.2241,5,4.82,320.18,3.30,-0.0414,-0.0297,0.3412,-0.9386,0,,Free-viewing Phase
37,010,5.0782,0.2452,6,5.78,320.20,3.36,-0.0447,-0.0374,0.3411,-0.9382,0,,Free-viewing Phase
37,010,5.0993,0.2671,6,4.89,318.20,2.36,-0.0344,-0.0325,0.3571,-0.9329,0,,Free-viewing Phase
37,010,5.1211,0.2913,7,3.39,316.20,1.36,-0.0220,-0.0230,0.3731,-0.9273,0,,Free-viewing Phase
37,010,5.1454,0.316,7,4.16,314.20,1.24,-0.0240,-0.0292,0.3892,-0.9204,0,,Free-viewing Phase
37,010,5.1701,0.3366,8,4.87,312.20,2.24,-0.0350,-0.0309,0.4054,-0.9129,0,,Free-viewing Phase
37,010,5.1906,0.3585,8,3.65,312.85,1.24,-0.0226,-0.0249,0.4000,-0.9159,0,,Free-viewing Phase
37,010,5.2126,0.3797,9,3.45,313.61,0.95,-0.0195,-0.0244,0.3939,-0.9186,0,,Free-viewing Phase
37,010,5.2338,0.4011,10,4.95,314.01,0.31,-0.0194,-0.0387,0.3904,-0.9196,0,,Free-viewing Phase
37,010,5.2552,0.4245,10,6.45,312.62,359.31,0.0171,0.0539,-0.4008,0.9144,0,,Free-viewing Phase
37,010,5.2786,0.4462,11,5.12,312.37,358.85,0.0089,0.0449,-0.4029,0.9141,0,,Free-viewing Phase
37,010,5.3002,0.4686,11,4.52,314.37,357.96,-0.0011,0.0432,-0.3867,0.9212,0,,Free-viewing Phase
37,010,5.3227,0.4935,12,3.69,312.37,357.60,-0.0061,0.0379,-0.4028,0.9145,0,,Free-viewing Phase
37,010,5.3476,0.5137,12,3.80,313.65,358.13,-0.0020,0.0369,-0.3928,0.9189,0,,Free-viewing Phase
37,010,5.3678,0.5382,13,2.30,311.76,357.13,-0.0147,0.0286,-0.4080,0.9124,0,,Free-viewing Phase
37,010,5.3923,0.5568,13,2.00,310.53,358.13,-0.0075,0.0227,-0.4180,0.9081,0,,Free-viewing Phase
37,010,5.4109,0.5816,14,3.50,312.53,359.13,0.0053,0.0310,-0.4021,0.9151,0,,Free-viewing Phase
37,010,5.4357,0.6046,15,3.00,311.21,0.13,-0.0118,-0.0234,0.4129,-0.9104,0,,Free-viewing Phase
37,010,5.4587,0.6237,15,3.76,309.26,0.24,-0.0159,-0.0287,0.4283,-0.9030,0,,Free-viewing Phase
37,010,5.4778,0.6422,16,2.62,308.65,1.24,-0.0196,-0.0159,0.4334,-0.9009,0,,Free-viewing Phase
37,010,5.4963,0.665,16,1.96,310.65,1.61,-0.0199,-0.0097,0.4176,-0.9084,0,,Free-viewing Phase
37,010,5.5191,0.6886,17,3.41,311.07,1.87,-0.0271,-0.0203,0.4143,-0.9095,0,,Free-viewing Phase
37,010,5.5427,0.7073,17,4.85,309.74,0.87,-0.0248,-0.0351,0.4246,-0.9044,0,,Free-viewing Phase
37,010,5.5614,0.7256,18,6.35,309.25,0.31,-0.0262,-0.0489,0.4280,-0.9021,0,,Free-viewing Phase
37,010,5.5797,0.7451,18,7.38,308.86,0.60,-0.0325,-0.0558,0.4310,-0.9000,0,,Free-viewing Phase
37,010,5.5992,0.7637,19,7.26,306.86,359.97,0.0281,0.0568,-0.4464,0.8926,0,,Free-viewing Phase
37,010,5.6178,0.7843,19,7.30,306.79,0.34,-0.0311,-0.0556,0.4471,-0.8922,0,,Free-viewing Phase
37,010,5.6384,0.8046,20,5.80,306.92,1.34,-0.0331,-0.0401,0.4467,-0.8932,0,,Free-viewing Phase
37,010,5.6587,0.825,20,4.30,306.25,2.17,-0.0338,-0.0249,0.4523,-0.8909,0,,Free-viewing Phase
37,010,5.6791,0.8473,21,5.09,305.18,1.17,-0.0295,-0.0347,0.4603,-0.8866,0,,Free-viewing Phase
37,010,5.7014,0.8666,21,6.59,307.18,0.87,-0.0324,-0.0481,0.4444,-0.8939,0,,Free-viewing Phase
37,010,5.7207,0.89,22,5.84,305.26,0.70,-0.0289,-0.0424,0.4594,-0.8867,0,,Free-viewing Phase
37,010,5.7441,0.9091,22,4.85,306.19,359.75,0.0172,0.0387,-0.4520,0.8910,0,,Free-viewing Phase
37,010,5.7632,0.9283,23,5.58,306.08,358.75,0.0124,0.0484,-0.4523,0.8905,0,,Free-viewing Phase
37,010,5.7824,0.951,23,4.45,304.24,357.75,0.0008,0.0435,-0.4665,0.8835,0,,Free-viewing Phase
37,010,5.8051,0.9733,24,4.65,305.02,357.29,-0.0022,0.0469,-0.4603,0.8865,0,,Free-viewing Phase
37,010,5.8274,0.9958,24,6.15,306.53,357.49,0.0046,0.0577,-0.4481,0.8921,0,,Free-viewing Phase
37,010,5.8499,1.019,25,7.65,308.53,358.45,0.0168,0.0659,-0.4324,0.8991,0,,Free-viewing Phase
37,010,5.8733,1.041,26,7.03,310.41,359.45,0.0214,0.0576,-0.4183,0.9062,0,,Free-viewing Phase
37,010,5.8946,1.06,26,5.90,312.41,358.45,0.0084,0.0525,-0.4023,0.9140,0,,Free-viewing Phase
37,010,5.9139,1.081,27,5.17,310.75,358.26,0.0050,0.0473,-0.4156,0.9083,0,,Free-viewing Phase
37,010,5.9356,1.105,27,5.63,310.71,357.26,-0.0012,0.0545,-0.4153,0.9080,0,,Free-viewing Phase
37,010,5.9587,1.124,28,4.91,308.71,357.59,-0.0004,0.0477,-0.4315,0.9008,0,,Free-viewing Phase
37,010,5.9779,1.142,28,5.34,308.17,358.08,0.0053,0.0492,-0.4358,0.8987,0,,Free-viewing Phase
37,010,5.9961,1.167,29,6.84,310.17,357.14,0.0025,0.0646,-0.4190,0.9057,0,,Free-viewing Phase
37,010,6.0207,1.189,29,6.39,308.17,356.52,-0.0029,0.0633,-0.4346,0.8984,0,,Free-viewing Phase
37,010,6.0431,1.211,30,4.89,310.17,355.72,-0.0159,0.0544,-0.4191,0.9061,0,,Free-viewing Phase
37,010,6.0652,1.235,30,4.25,311.74,356.31,-0.0143,0.0470,-0.4072,0.9120,0,,Free-viewing Phase
